data,d2m_mean,d2m_min,d2m_max,t2m_mean,t2m_min,t2m_max,u10_mean,u10_min,u10_max,v10_mean,v10_min,v10_max,slhf_mean,sshf_mean,ssrd_mean,sp_mean,tp_mean,tp_min,tp_max,e_mean,e_min,e_max,es_mean,ev_mean,RH_mean,VPD_mean,es_min,es_max,ev_min,ev_max,RH_min,RH_max,VPD_min,VPD_max,mes
2020-01-01,292.33032,287.50293,297.93408,298.39514,292.40723,304.44342,0.644311,-2.4471388,3.3549428,-1.1806227,-3.6085215,1.3181343,-5190156.5,-1131192.1,10752853.0,92805.695,0.0025149556,0.00096623896,0.004756687,-0.049809564,-0.0682904,-0.04232877,3282.91295882032,2231.015840290662,71.88765927463746,1.0518971185296588,2228.2761340683646,4561.906070009103,1632.416452676496,3121.2619218247414,36.53964134894314,99.43156572498896,0.014292776385183515,2.8716336170784045,1
2020-01-02,293.15018,290.05664,298.02026,296.2227,293.14368,301.01556,0.92839646,-1.5898018,2.7603626,-0.35154232,-2.9055939,3.5939932,-3709580.0,-574247.94,5845968.0,92789.82,0.20588546,0.112656474,0.4807554,-0.035600573,-0.059099402,-0.028002048,2833.1161237738747,2339.0301400328926,83.32113342915851,0.49408598374098234,2332.5272982073066,3744.0396029234566,1922.3605593302182,3137.3620958946253,61.4974715151013,98.25768327654458,0.041482089491451005,1.3665644119018812,1
2020-01-03,292.12375,290.4801,295.69635,294.09457,292.17126,298.1128,0.22906296,-1.4566832,2.797676,2.7337885,0.44650313,5.796789,-4036169.2,-1293665.0,6449201.5,93075.94,0.08868344,0.057143707,0.12677361,-0.03873483,-0.06044723,-0.03241387,2480.4979212483117,2192.355165342403,88.94300952122917,0.28814275590590926,2195.7500240439363,3154.728958667237,1974.5777442902495,2727.7520028927465,70.34495843361975,99.41302044973804,0.01352574665610382,0.876932508343371,1
2020-01-04,291.8096,290.26575,295.14282,293.78906,290.89075,298.40802,-0.027207866,-1.5642328,2.371582,1.5438275,0.067335844,3.919671,-3440328.2,-1049553.0,6385541.5,92971.695,0.13953137,0.057332262,0.19979787,-0.033016585,-0.048126485,-0.028480679,2440.060865121672,2149.567697997714,88.75058716917736,0.290493167123958,2026.4002206278053,3210.703815078678,1947.9918712888575,2637.3971110023554,70.99549354253088,98.30884099661014,0.03569334117732933,0.9066934466817284,1
2020-01-05,292.07367,290.44922,295.02484,294.11853,290.50977,299.16412,-0.4692615,-2.629037,2.1194086,1.0437077,-1.3165789,3.770456,-3861441.2,-1321383.1,7910228.5,92825.94,0.09801416,0.04120509,0.1557587,-0.037057977,-0.050179657,-0.03058219,2499.6526070170944,2184.6580684180544,88.79311008275751,0.31499453859904025,1978.2817595291358,3358.040375024847,1970.7277750923881,2618.4812427539377,69.84702102825852,99.74232255429574,0.005157009812570777,0.9584255248759127,1
2020-01-06,292.60648,289.88513,296.57727,296.0716,290.5703,301.8871,0.6669264,-2.6080837,4.352874,-0.9243997,-4.242835,2.5479593,-4712085.0,-1353329.9,9658569.0,92859.66,0.030182984,0.0076987217,0.06749432,-0.04522154,-0.0610392,-0.03793142,2840.1499519396893,2260.9929846231435,82.1912705306706,0.5791569673165461,1985.8611668758601,3938.7779433010905,1901.559473700915,2877.144453612318,56.2095546868321,99.16790506432552,0.01815336746542016,1.7091804949804827,1
2020-01-07,293.36472,291.00647,298.8623,297.97272,292.8286,305.6892,1.3093424,-2.4973984,3.7613301,-1.8722563,-4.1052303,1.1360025,-5346757.5,-1012444.2,10662903.0,93020.09,0.009952707,0.0004817218,0.02814651,-0.05131245,-0.07077821,-0.043894954,3190.676863712182,2370.979557456039,77.15831642052945,0.8196973062561425,2287.414944059657,4895.555490505304,2041.218229138585,3298.533033372339,47.810690538435615,97.53705716992243,0.06327818596480575,2.4185734339526292,1
2020-01-08,294.54526,293.16357,298.24243,296.99908,293.9707,302.11523,1.1404518,-2.1099634,3.2963645,-1.7174062,-5.0440865,1.2263803,-3768165.2,-742490.8,6537138.0,93098.32,0.1442614,0.07778971,0.24549937,-0.036162812,-0.051920645,-0.029946491,2968.4667862842252,2545.620446940365,86.5689826861683,0.42284633934386034,2454.6785708629723,3991.194865865289,2335.4023338298966,3179.202340161572,68.0576887720753,97.50901515713568,0.0633278173199742,1.1808871708577535,1
2020-01-09,294.3096,292.7478,298.14038,297.27756,293.94727,302.39075,1.1711701,-2.1802979,3.1787338,-0.72262573,-3.043026,2.3317041,-3754885.2,-539903.7,6452597.5,93176.84,0.04558182,0.025119692,0.08697044,-0.03603537,-0.052268606,-0.029788548,3024.104896519157,2509.612378460167,84.22906438916671,0.5144925180589907,2451.141132944703,4055.3043214492172,2275.968176247013,3159.9231910145822,61.96680753701546,98.05456119551503,0.0479526084910658,1.4054512545673197,1
2020-01-10,294.72287,292.69287,298.32947,298.19998,293.45215,303.29034,0.59439594,-2.791544,2.3109093,-0.5712585,-2.2666836,1.2336988,-4486540.5,-1118170.6,8994399.0,93149.69,0.018704917,0.005370987,0.04101496,-0.04305701,-0.05666016,-0.034441333,3207.7373825887694,2574.978737083445,82.3292364661408,0.632758645505324,2377.450024096222,4270.934900059838,2268.2158629032283,3195.7261876185844,60.05239264813259,99.79850557749702,0.0051711352593779335,1.5903566992435108,1
